"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 16:49:11 GMT 2023","Wed Nov 15 16:49:11 GMT 2023","320","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Wed Nov 15 16:49:22 GMT 2023","Wed Nov 15 16:49:23 GMT 2023","1663","Gradle suite","Gradle test","InventoryTest","InventoryTest","requiredFieldsForDeliveryInformation","Required fields for delivery information",""
"passed","Wed Nov 15 16:49:03 GMT 2023","Wed Nov 15 16:49:03 GMT 2023","697","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","lockedUserCantBeRegistered","Locked user cant be registered",""
"passed","Wed Nov 15 16:49:03 GMT 2023","Wed Nov 15 16:49:10 GMT 2023","6228","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","logoutUser","Logout user",""
"passed","Wed Nov 15 16:49:11 GMT 2023","Wed Nov 15 16:49:11 GMT 2023","348","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Wed Nov 15 16:49:17 GMT 2023","Wed Nov 15 16:49:18 GMT 2023","794","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeAddedToCard","Item can be added to card",""
"passed","Wed Nov 15 16:49:20 GMT 2023","Wed Nov 15 16:49:21 GMT 2023","1137","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemHasInfo","Item has info",""
"passed","Wed Nov 15 16:49:11 GMT 2023","Wed Nov 15 16:49:17 GMT 2023","5370","Gradle suite","Gradle test","AuthorizationTest","AuthorizationTest","userCanBeRegistered","User can be registered",""
"passed","Wed Nov 15 16:49:29 GMT 2023","Wed Nov 15 16:49:30 GMT 2023","1007","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnOneProduct","Total on one product",""
"passed","Wed Nov 15 16:49:24 GMT 2023","Wed Nov 15 16:49:25 GMT 2023","1209","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnMultipleProduct","Tax on multiple product",""
"passed","Wed Nov 15 16:49:26 GMT 2023","Wed Nov 15 16:49:27 GMT 2023","1152","Gradle suite","Gradle test","InventoryTest","InventoryTest","taxOnOneProduct","Tax on one product",""
"passed","Wed Nov 15 16:49:18 GMT 2023","Wed Nov 15 16:49:20 GMT 2023","1929","Gradle suite","Gradle test","InventoryTest","InventoryTest","itemCanBeOrdered","Item can be ordered",""
"passed","Wed Nov 15 16:49:27 GMT 2023","Wed Nov 15 16:49:28 GMT 2023","1163","Gradle suite","Gradle test","InventoryTest","InventoryTest","totalOnMultipleProduct","Total on multiple product",""
